id,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
babfb690fb36d0936a1ff7e153549380,Tom Kennedy,DET,25,,12,0,,1,1,100,75,1,100,0,0,1,75,75.0,95.0,75.0,6.3,158.3,100.0,0,0,0,75.00,95.00,,
d85f69f15580a29ea76e0bbe9b427474,Blaine Gabbert,TAM,32,,6,0,,7,11,63.6,67,0,0,0,0,4,23,6.1,6.1,9.6,11.2,80.5,31.2,1,10,8.3,4.75,4.75,,
e4f22390996b56a67724fab14593aef3,Tyler Boyd,CIN,27,wr,16,10,,1,1,100,46,0,0,0,0,1,46,46.0,46.0,46.0,2.9,118.7,98.7,0,0,0,46.00,46.00,,
4f59d0ba0aae3c14ea1b25c17cd17aa2,Jakobi Meyers,NWE,25,WR,17,16,,2,2,100,45,0,0,0,0,1,30,22.5,22.5,22.5,2.6,118.7,73.6,0,0,0,22.50,22.50,,
bfd7c33d317a77c971d99170d9f6a3af,Mitchell Trubisky,BUF,27,,6,0,,6,8,75,43,0,0,1,12.5,2,15,5.4,-0.3,7.2,7.2,47.4,73.2,0,0,0,5.38,-0.25,,
30d1f0e870204cde6f84d987589ca247,Jack Fox,DET,25,p,17,0,,2,3,66.7,38,0,0,0,0,2,21,12.7,12.7,19.0,2.2,109.7,,0,0,0,12.67,12.67,,
67cd20410c3ff67cc6b0709e76dba2ce,Chris Streveler,ARI,26,,2,0,,6,9,66.7,36,0,0,0,0,1,17,4.0,4.0,6.0,18.0,74.3,2.3,2,17,18.2,1.73,1.73,,
cefade4d9059c69bd4197c374e655bd9,Justin Jefferson*,MIN,22,WR,17,17,,2,4,50,35,0,0,0,0,2,24,8.8,8.8,17.5,2.1,80.2,42.7,0,0,0,8.75,8.75,,
5b5878dc0f93951c944d3e07cd93c8a5,C.J. Beathard,JAX,28,,2,0,,2,2,100,33,0,0,0,0,1,28,16.5,16.5,16.5,16.5,118.7,90.3,0,0,0,16.50,16.50,,
5408b3293629c222c729882ae0367f4d,Christian Kirk,ARI,25,WR,17,11,,1,1,100,33,0,0,0,0,1,33,33.0,33.0,33.0,1.9,118.7,100.0,0,0,0,33.00,33.00,,
48966eace99b65662c2720e9535d105f,Kendrick Bourne,NWE,26,wr,17,5,,1,1,100,25,1,100,0,0,1,25,25.0,45.0,25.0,1.5,158.3,100.0,0,0,0,25.00,45.00,,
2fe2b785d07e3233f564de7f2144f98f,Jacob Eason,IND,24,,1,0,,2,5,40,25,0,0,1,20,2,10,5.0,-4.0,12.5,25.0,16.7,0.1,0,0,0,5.00,-4.00,,
460c71e3a7ee131a9728667cb4a97f88,Deebo Samuel*+,SFO,25,WR,16,15,,1,2,50,24,1,50,0,0,1,24,12.0,22.0,24.0,1.5,133.3,98.7,0,0,0,12.00,22.00,,
d05d15e41d44fdd82100c4dcf5b62949,Chris Banjo,ARI,31,,16,0,,1,1,100,23,0,0,0,0,1,23,23.0,23.0,23.0,1.4,118.7,,0,0,0,23.00,23.00,,
d5ad929c8140cd1fd033eb464b3d9d2d,Josh Rosen,ATL,24,,4,0,,2,11,18.2,19,0,0,2,18.2,1,14,1.7,-6.5,9.5,4.8,0.0,0.1,0,0,0,1.73,-6.45,,
dcc29c088dd0f094bc6d807a2400dd50,Kadarius Toney,NYG,22,wr,10,4,,1,3,33.3,19,0,0,0,0,1,19,6.3,6.3,19.0,1.9,56.2,1.8,1,6,25,3.25,3.25,,
ba7582ad3ff75f1ad2c80810cb0b6ab4,Dante Pettis,NYG,26,,3,0,,1,1,100,16,0,0,0,0,1,16,16.0,16.0,16.0,5.3,118.7,92.5,0,0,0,16.00,16.00,,
d8556c751340deaa727a6d74a922d138,Courtland Sutton,DEN,26,WR,17,16,,1,1,100,16,0,0,0,0,1,16,16.0,16.0,16.0,0.9,118.7,99.9,0,0,0,16.00,16.00,,
822e5ef6af75fc28ed21077e498c9824,Tommy Townsend,KAN,25,p,16,0,,1,1,100,16,0,0,0,0,1,16,16.0,16.0,16.0,1.0,118.7,,0,0,0,16.00,16.00,,
d5ad551a3bd46a2424ae9b591f2efdf8,Ryan Fitzpatrick,WAS,39,qb,1,1,0-1-0,3,6,50,13,0,0,0,0,0,6,2.2,2.2,4.3,13.0,56.2,2.3,1,2,14.3,1.57,1.57,,
3fb90b2cd58979943076d6e2218255a0,Matthias Farley,TEN,29,,17,0,,1,1,100,6,0,0,0,0,1,6,6.0,6.0,6.0,0.4,91.7,,0,0,0,6.00,6.00,,
27cf5eb614b96a85ce7d9956a845c98a,Derrick Henry ,TEN,27,rb,8,8,,1,1,100,5,1,100,0,0,1,5,5.0,25.0,5.0,0.6,127.1,76.6,0,0,0,5.00,25.00,,
827f949e5da612956bf0609865c84cfd,Kellen Mond,MIN,22,,1,0,,2,3,66.7,5,0,0,0,0,0,6,1.7,1.7,2.5,5.0,70.1,14.9,0,0,0,1.67,1.67,,
efa33e359744c079de27ec4506091918,John Wolford,LAR,26,,3,0,,1,4,25,5,0,0,1,25,0,5,1.3,-10.0,5.0,1.7,0.0,0.1,1,8,20,-0.60,-9.60,,

bb705d3384b3d866577be4b02e1b09d0,Ezekiel Elliott,DAL,26,RB,17,17,,1,1,100,4,0,0,0,0,0,4,4.0,4.0,4.0,0.2,83.3,9.9,0,0,0,4.00,4.00,,
0363435d6629c0473071a5c75b389f68,Marcus Mariota,LVR,28,,10,0,,1,2,50,4,0,0,0,0,0,4,2.0,2.0,4.0,0.4,56.2,40.3,0,0,0,2.00,2.00,,
69370698c61611fb8230273baec40e0a,Johnny Hekker,LAR,31,,17,0,,1,1,100,2,0,0,0,0,0,2,2.0,2.0,2.0,0.1,79.2,,0,0,0,2.00,2.00,,
0561ab10fce4e559a6ac4c46fc18c3a3,Greg Ward,PHI,26,,17,0,,1,2,50,2,0,0,0,0,0,2,1.0,1.0,2.0,0.1,56.2,0.0,0,0,0,1.00,1.00,,
ddffe19fbd57c58de451afd93b0af21d,Kendall Hinton,DEN,24,wr,16,1,,1,1,100,1,0,0,0,0,0,1,1.0,1.0,1.0,0.1,79.2,100.0,0,0,0,1.00,1.00,,
b55a1db1121ac36870d3dc88e9bafa65,Keenan Allen*,LAC,29,WR,16,16,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,51.3,0,0,0,0.00,0.00,,
ff5a84622e2640576fd196fe7bb4a30d,Danny Amendola,HOU,36,,8,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,3.3,0,0,0,0.00,0.00,,
8fe39c86e8bb5473fa39b1ee6472795f,Cole Beasley,BUF,32,wr,16,8,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,2.3,0,0,0,0.00,0.00,,
66ae492e84f27c83c88c28988058d659,Chris Boswell,PIT,30,k,17,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,,0,0,0,0.00,0.00,,
b38803b51a2fa25f614492a3bc7575cf,A.J. Brown,TEN,24,WR,13,13,,0,2,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,2.4,0,0,0,0.00,0.00,,
408a525938c546467a99e11eced5f991,Rex Burkhead,HOU,31,rb,16,5,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,2.4,0,0,0,0.00,0.00,,
db8cd8651eff1cb36684f22ccc227e4a,Keelan Cole,NYJ,28,WR,15,11,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,3.5,0,0,0,0.00,0.00,,
cc7a52f206a08528f7de0280079a7157,Riley Dixon,NYG,28,,17,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,,0,0,0,0.00,0.00,,
dd6969648b9ebe092f68bfe1abddb697,Leonard Fournette,TAM,26,RB,14,13,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,28.1,0,0,0,0.00,0.00,,
168c08abd005a9604c37112d7b987586,Feleipe Franks,ATL,24,,9,0,,0,1,0,0,0,0,1,100,0,0,0.0,-45.0,,0.0,0.0,0.8,0,0,0,0.00,-45.00,,
8555081a14b27473be214b34498fa5a0,Mike Gesicki,MIA,26,te,17,9,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,4.2,0,0,0,0.00,0.00,,
2dcc56de127a8d363f1fef635cca9aa1,Blake Gillikin,NOR,23,p,17,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,,0,0,0,0.00,0.00,,
c8cf11940d9e4baf9cdaed630d1e676e,Sam Koch,BAL,39,p,17,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,,0,0,0,0.00,0.00,,
6278e5d665dba3ff9ddb5835f2ec6547,Cooper Kupp*+,LAR,28,WR,17,17,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,10.4,0,0,0,0.00,0.00,,
d7e0532352429a9882758ba98bb36db2,Ty Long,LAC,28,p,17,0,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,,0,0,0,0.00,0.00,,
97f5c54aaac7dd10cf2f1e3028edcf92,David Montgomery,CHI,24,RB,13,13,,0,1,0,0,0,0,1,100,0,0,0.0,-45.0,,0.0,0.0,21.2,0,0,0,0.00,-45.00,,
af48959c837ce7c39af0f6e7aedf06eb,Cordarrelle Patterson,ATL,30,RB,16,13,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,2.9,0,0,0,0.00,0.00,,
4fd23da1f4410a52d506d9115d2b918b,Brett Rypien,DEN,25,,1,0,,0,2,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,1.1,0,0,0,0.00,0.00,,
a8e810a7d5ef215809649ff5c9ca8cb8,D'Andre Swift,DET,22,rb,13,4,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0.5,0,0,0,0.00,0.00,,
ecdfdfd736e9299ebcb8c8141dda6e34,Albert Wilson,MIA,29,wr,14,5,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0.0,1,1,50,-0.50,-0.50,,
2f010c0ae15a7b9ce525c878644b0430,Brandon Zylstra,CAR,28,wr,13,3,,0,1,0,0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0.4,0,0,0,0.00,0.00,,
